id,Nom,Référence,prix TTC,TVA,catalogId,vendorId,unit,Quantité,actif,image
758264,fenouil vrac,fenv-1,2.25,5.5,32264,15238,Gram,500,false,https://app.cagette.net/file/174691_01f1ae1bfad338e1b2062b66c22278bf
658547,fenouil/bt,fen-1,2.5,5.5,32264,15238,Piece,1,false,https://app.cagette.net/file/174690_5a4e6f4075858dd6f5adf6697b8f39ac
1196039,haricot plat,RHO-1,4,5.5,32264,15238,Gram,500,false,https://app.cagette.net/file/275036_025e5015a7dd6865a97a69b6bdb21704
715576,haricot vert,hari-2,8,5.5,32264,15238,Gram,1000,false,https://app.cagette.net/file/158001_013737bc9caf6fb3b173c3930b3d0130
692063,haricot vert,hari-1,4,5.5,32264,15238,Gram,500,false,https://app.cagette.net/file/158001_013737bc9caf6fb3b173c3930b3d0130
1479247,Laitue rouge,MGD-1,1.1,5.5,32264,15238,Piece,1,true,https://app.cagette.net/img/taxo/grey/legumes.png
716421,maïs,RRS-1,1,5.5,32264,15238,Piece,1,false,https://app.cagette.net/img/taxo/grey/legumes.png
826610,mâche,THO-2,2.7,0,32264,15238,Gram,200,false,https://app.cagette.net/file/95158_214635c949e008e7370196f9c1c50599
826611,mâche,THO-1,1.35,5.5,32264,15238,Gram,100,false,https://app.cagette.net/file/95158_214635c949e008e7370196f9c1c50599
826612,mâche,THO-3,6.75,5.5,32264,15238,Gram,500,false,https://app.cagette.net/file/95158_214635c949e008e7370196f9c1c50599
537097,Mesclun,Mes-2,1.8,5.5,32264,15238,Gram,200,true,https://app.cagette.net/file/102615_e34dbcfc314e8cd2bd33695ed382a6fd
537098,Mesclun,Mes-4,2.7,5.5,32264,15238,Gram,300,true,https://app.cagette.net/file/102615_e34dbcfc314e8cd2bd33695ed382a6fd
537100,Mesclun,Mes-3,4.5,5.5,32264,15238,Gram,500,true,https://app.cagette.net/file/102615_e34dbcfc314e8cd2bd33695ed382a6fd
537099,Mesclun - sacs,Mes-1,0.9,5.5,32264,15238,Gram,100,true,https://app.cagette.net/file/102615_e34dbcfc314e8cd2bd33695ed382a6fd
537101,Mizuna,DHY-1,1.1,5.5,32264,15238,Piece,1,true,https://app.cagette.net/file/95160_32771a118da78c171e994632bd94af30
1492301,Mizuna - Resto,Miz res,1.1,5.5,32264,15238,Piece,1,true,https://app.cagette.net/file/95160_32771a118da78c171e994632bd94af30
537102,Moutarde rouge,XTE-1,1.1,5.5,32264,15238,Piece,1,false,https://app.cagette.net/file/95162_925a779d7e751f42858c0ba991d81e5a
537103,Moutarde verte,RRO-1,1.1,5.5,32264,15238,Piece,1,false,https://app.cagette.net/file/95165_0d1413f35827c9c05255f04af128660e
537104,Navet botte - botte,NAVB-1,2.5,5.5,32264,15238,Piece,1,true,https://app.cagette.net/file/95167_89d2a044eb14fd64fdf1461ed36a35a1
1492302,Navet botte - Resto,NAVB-2,3.1,5.5,32264,15238,Piece,1,true,https://app.cagette.net/file/95167_89d2a044eb14fd64fdf1461ed36a35a1
793538,Navets/kg revente Rahon,Nav-1,2.7,5.5,32264,15238,Kilogram,1,false,https://app.cagette.net/file/193688_4c889d17ef1ac4fc6bac1249e8da7b23
715577,Oignons de Rahon - revente,Oign-1,3.1,5.5,32264,15238,Kilogram,1,false,https://app.cagette.net/file/174693_f5999cf55409e1918448b616d15ece41
758349,pain de sucre,pds-1,2,5.5,32264,15238,Piece,1,false,https://app.cagette.net/file/174719_8af01b9f4ef7e46fb84a768d77c2dc12
1272844,Patate douce,XZY-1,4.5,5.5,32264,15238,Kilogram,1,false,https://app.cagette.net/img/taxo/grey/legumes.png
537105,Persil plat,PERP-1,1.1,5.5,32264,15238,Piece,1,true,https://app.cagette.net/file/95176_8a872d5431448eb831b1be54747001e1
