id;Nom;Référence;prix TTC;TVA;catalogId;vendorId;unit;Quantité;actif;image
"591398";"Champignons Pleurotes Bio Frais";"HFU-2";"6.25";"5.5";"35564";"16294";"Kilogram";"0.5";"true";"https://app.cagette.net/file/97371_721670791b5e054badcd72b084c07f72"
"591399";"Champignons Pleurotes Bio Frais";"HFU-1";"12.5";"5.5";"35564";"16294";"Kilogram";"1";"true";"https://app.cagette.net/file/97371_721670791b5e054badcd72b084c07f72"
"637046";"Champignons Pleurotes Séchés Bio - Sachet 25g";"IQX-1";"3.5";"5.5";"35564";"16294";"Piece";"1";"true";"https://app.cagette.net/file/140806_eaefb87d5f9249f3caed79a7d8341b09"
"637047";"Champignons Pleurotes Séchés Bio - Sachet 25g";"IQX-1";"3.5";"5.5";"35564";"16294";"Piece";"1";"false";"https://app.cagette.net/file/140806_eaefb87d5f9249f3caed79a7d8341b09"
"688397";"Champignons Pleurotes Séchés Bio - Sachet 50g";"IQX-2";"6.5";"5.5";"35564";"16294";"Piece";"1";"true";"https://app.cagette.net/file/140806_eaefb87d5f9249f3caed79a7d8341b09"
